Code Commune;Nom Commune;Nb -25;Nb 25-64;Nb 65+;Prop -25;Prop 25-64;Prop 65+;Taux Nat 1999-2010;Taux Mort 1999-2010
01062;Bressolles;239;391;79;33.8;55.1;11.2;10;6.9
01063;Brion;144;287;86;27.8;55.6;16.7;8.6;5.4
01064;Briord;291;504;98;32.6;56.4;11;15;7.1
01065;Buellas;526;919;224;31.5;55.1;13.4;11.4;5.4
01066;La Burbanche;20;39;13;27.1;54.3;18.6;1.4;11.6
01067;Ceignes;87;146;32;32.8;55.1;12.1;14.4;4.4
01068;Cerdon;204;365;172;27.5;49.3;23.2;14.6;21.3
01069;Certines;492;828;125;34.1;57.3;8.6;14.3;4
01071;Cessy;1404;2305;283;35.2;57.7;7.1;9.1;2.5
01072;Ceyzériat;769;1465;504;28.1;53.5;18.4;11.1;11.8
01073;Ceyzérieu;234;523;172;25.2;56.3;18.5;10.4;9.9
01074;Chalamont;803;1157;362;34.6;49.8;15.6;15.6;11.4
01075;Chaleins;409;651;105;35.1;55.9;9;14.4;5.3
01076;Chaley;29;66;32;22.9;52.1;25;10.3;15.8
01077;Challes-la-Montagne;44;96;39;24.6;53.7;21.7;10.5;9.1
01078;Challex;337;694;194;27.5;56.7;15.8;5.5;12.5
01079;Champagne-en-Valromey;187;343;236;24.4;44.8;30.8;10.1;22.4
01080;Champdor-Corcelles;218;383;106;30.8;54.2;15;11.7;9.2
01081;Champfromier;222;389;66;32.8;57.4;9.8;12.8;6.8
01082;Chanay;265;279;73;42.9;45.2;11.9;9.7;7.2
01083;Chaneins;285;444;90;34.8;54.2;11;14.5;6
01084;Chanoz-Châtenay;233;384;89;33;54.4;12.6;19.5;6.6
01085;La Chapelle-du-Châtelard;100;196;45;29.4;57.4;13.2;12.6;5.2
01087;Charix;86;148;60;29.3;50.2;20.5;15.7;10.5
01088;Charnoz-sur-Ain;355;501;55;38.9;55;6;14;3.4
01089;Château-Gaillard;617;988;214;33.9;54.3;11.8;14.1;4.1
01090;Châtenay;109;203;40;31.1;57.7;11.2;10.8;5.6
01092;Châtillon-la-Palud;527;832;203;33.8;53.2;13;12;6.9
01093;Châtillon-sur-Chalaronne;1444;2298;1180;29.3;46.7;24;11.7;13
01094;Chavannes-sur-Reyssouze;184;359;138;27;52.8;20.2;12.5;11.1
01095;Nivigne et Suran;250;424;116;31.6;53.7;14.7;16.2;8
